"","Combo","Origin","Destination","Pallet cost","CBM cost","Comment"
"1","NSW>NSW","NSW","NSW","$65.00","$50.00",""
"2","QLD>QLD","QLD","QLD","$85.00","$65.38",""
"3","QLD>NSW","QLD","NSW","$120.00","$92.31",""
"4","SA>SA","SA","SA","$60.00","$46.15",""
"5","VIC>SA","VIC","SA","$150.00","$115.38",""
"6","VIC>QLD","VIC","QLD","$200.00","$153.85",""
"7","VIC>VIC","VIC","VIC","$80.00","$61.54","Inc TAS"
"8","VIC>WA","VIC","WA","$350.00","$269.23",""
"9","VIC>NSW","VIC","NSW","$150.00","$115.38",""
"10","WA>WA","WA","WA","$125.00","$96.15",""
