"","Region","Item Code",".model","Yearmonth","Volume",".mean"
"1","ADE","1234","ETS",2024 May,N(756, 156508),756.214023809337
"2","ADE","1234","ETS",2024 Jun,N(756, 156508),756.214023809337
"3","ADE","1234","ETS",2024 Jul,N(756, 156508),756.214023809337
"4","ADE","1234","ETS",2024 Aug,N(756, 156508),756.214023809337
"5","ADE","1234","ETS",2024 Sep,N(756, 156508),756.214023809337
"6","ADE","1234","ETS",2024 Oct,N(756, 156508),756.214023809337
"7","ADE","1234","ARIMA",2024 May,N(756, 152767),756.279069767442
"8","ADE","1234","ARIMA",2024 Jun,N(756, 152767),756.279069767442
"9","ADE","1234","ARIMA",2024 Jul,N(756, 152767),756.279069767442
"10","ADE","1234","ARIMA",2024 Aug,N(756, 152767),756.279069767442
"11","ADE","1234","ARIMA",2024 Sep,N(756, 152767),756.279069767442
"12","ADE","1234","ARIMA",2024 Oct,N(756, 152767),756.279069767442
"13","ADE","1235","ETS",2024 May,N(139, 12028),138.512144737992
"14","ADE","1235","ETS",2024 Jun,N(139, 12377),138.512144737992
"15","ADE","1235","ETS",2024 Jul,N(139, 12725),138.512144737992
"16","ADE","1235","ETS",2024 Aug,N(139, 13073),138.512144737992
"17","ADE","1235","ETS",2024 Sep,N(139, 13421),138.512144737992
"18","ADE","1235","ETS",2024 Oct,N(139, 13770),138.512144737992
"19","ADE","1235","ARIMA",2024 May,N(123, 11514),122.795563069207
"20","ADE","1235","ARIMA",2024 Jun,N(153, 11515),153.330473036811
"21","ADE","1235","ARIMA",2024 Jul,N(144, 12610),143.738516577113
"22","ADE","1235","ARIMA",2024 Aug,N(147, 13113),146.751645773248
"23","ADE","1235","ARIMA",2024 Sep,N(146, 13778),145.805129013007
"24","ADE","1235","ARIMA",2024 Oct,N(146, 14389),146.102459103786
"25","ADE","1236","ETS",2024 May,N(250, 10026),249.766314459702
"26","ADE","1236","ETS",2024 Jun,N(250, 13196),249.766314459702
"27","ADE","1236","ETS",2024 Jul,N(250, 16505),249.766314459702
"28","ADE","1236","ETS",2024 Aug,N(250, 19959),249.766314459702
"29","ADE","1236","ETS",2024 Sep,N(250, 23565),249.766314459702
"30","ADE","1236","ETS",2024 Oct,N(250, 27328),249.766314459702
"31","ADE","1236","ARIMA",2024 May,N(245, 10290),244.768119877683
"32","ADE","1236","ARIMA",2024 Jun,N(237, 11930),237.189938322887
"33","ADE","1236","ARIMA",2024 Jul,N(233, 13570),233.400847545489
"34","ADE","1236","ARIMA",2024 Aug,N(260, 15209),259.924482987276
"35","ADE","1236","ARIMA",2024 Sep,N(271, 16849),271.29175531947
"36","ADE","1236","ARIMA",2024 Oct,N(268, 18489),267.502664542072
"37","ADE","1238","ETS",2024 May,N(1447, 1134131),1446.64964440375
"38","ADE","1238","ETS",2024 Jun,N(1447, 1134131),1446.64964440375
"39","ADE","1238","ETS",2024 Jul,N(1447, 1134131),1446.64964440375
"40","ADE","1238","ETS",2024 Aug,N(1447, 1134131),1446.64964440375
"41","ADE","1238","ETS",2024 Sep,N(1447, 1134131),1446.64964440375
"42","ADE","1238","ETS",2024 Oct,N(1447, 1134131),1446.64964440375
"43","ADE","1238","ARIMA",2024 May,N(1446, 1107016),1445.58139534884
"44","ADE","1238","ARIMA",2024 Jun,N(1446, 1107016),1445.58139534884
"45","ADE","1238","ARIMA",2024 Jul,N(1446, 1107016),1445.58139534884
"46","ADE","1238","ARIMA",2024 Aug,N(1446, 1107016),1445.58139534884
"47","ADE","1238","ARIMA",2024 Sep,N(1446, 1107016),1445.58139534884
"48","ADE","1238","ARIMA",2024 Oct,N(1446, 1107016),1445.58139534884
"49","ADE","1239","ETS",2024 May,N(237, 8549),236.803519692714
"50","ADE","1239","ETS",2024 Jun,N(242, 8549),242.118985128771
"51","ADE","1239","ETS",2024 Jul,N(247, 8549),247.434450564829
"52","ADE","1239","ETS",2024 Aug,N(253, 8549),252.749916000887
"53","ADE","1239","ETS",2024 Sep,N(258, 8549),258.065381436944
"54","ADE","1239","ETS",2024 Oct,N(263, 8549),263.380846873002
"55","ADE","1239","ARIMA",2024 May,N(235, 9446),234.674720333349
"56","ADE","1239","ARIMA",2024 Jun,N(235, 10115),234.674720333349
"57","ADE","1239","ARIMA",2024 Jul,N(235, 10784),234.674720333349
"58","ADE","1239","ARIMA",2024 Aug,N(235, 11453),234.674720333349
"59","ADE","1239","ARIMA",2024 Sep,N(235, 12122),234.674720333349
"60","ADE","1239","ARIMA",2024 Oct,N(235, 12791),234.674720333349
"61","ADE","1246","ETS",2024 May,N(89, 7317),89.1688687977257
"62","ADE","1246","ETS",2024 Jun,N(89, 7434),89.1688687977257
"63","ADE","1246","ETS",2024 Jul,N(89, 7550),89.1688687977257
"64","ADE","1246","ETS",2024 Aug,N(89, 7667),89.1688687977257
"65","ADE","1246","ETS",2024 Sep,N(89, 7783),89.1688687977257
"66","ADE","1246","ETS",2024 Oct,N(89, 7900),89.1688687977257
"67","ADE","1246","ARIMA",2024 May,N(83, 6351),83.4425756017204
"68","ADE","1246","ARIMA",2024 Jun,N(75, 6865),74.9056913972902
"69","ADE","1246","ARIMA",2024 Jul,N(86, 7301),85.7229413033458
"70","ADE","1246","ARIMA",2024 Aug,N(86, 7301),85.7229413033458
"71","ADE","1246","ARIMA",2024 Sep,N(86, 7301),85.7229413033458
"72","ADE","1246","ARIMA",2024 Oct,N(86, 7301),85.7229413033458
"73","ADE","1247","ETS",2024 May,N(107, 5208),107.48374439028
"74","ADE","1247","ETS",2024 Jun,N(107, 5280),107.48374439028
"75","ADE","1247","ETS",2024 Jul,N(107, 5352),107.48374439028
"76","ADE","1247","ETS",2024 Aug,N(107, 5424),107.48374439028
"77","ADE","1247","ETS",2024 Sep,N(107, 5497),107.48374439028
"78","ADE","1247","ETS",2024 Oct,N(107, 5569),107.48374439028
"79","ADE","1247","ARIMA",2024 May,N(88, 5095),88.2558139534884
"80","ADE","1247","ARIMA",2024 Jun,N(88, 5095),88.2558139534884
"81","ADE","1247","ARIMA",2024 Jul,N(88, 5095),88.2558139534884
"82","ADE","1247","ARIMA",2024 Aug,N(88, 5095),88.2558139534884
"83","ADE","1247","ARIMA",2024 Sep,N(88, 5095),88.2558139534884
"84","ADE","1247","ARIMA",2024 Oct,N(88, 5095),88.2558139534884
"85","ADE","1248","ETS",2024 May,N(45, 1952),45.3815947849009
"86","ADE","1248","ETS",2024 Jun,N(45, 1952),45.3815947849009
"87","ADE","1248","ETS",2024 Jul,N(45, 1952),45.3815947849009
"88","ADE","1248","ETS",2024 Aug,N(45, 1952),45.3815947849009
"89","ADE","1248","ETS",2024 Sep,N(45, 1952),45.3815947849009
"90","ADE","1248","ETS",2024 Oct,N(45, 1952),45.3815947849009
"91","ADE","1248","ARIMA",2024 May,N(47, 1903),46.7441860465116
"92","ADE","1248","ARIMA",2024 Jun,N(47, 1903),46.7441860465116
"93","ADE","1248","ARIMA",2024 Jul,N(47, 1903),46.7441860465116
"94","ADE","1248","ARIMA",2024 Aug,N(47, 1903),46.7441860465116
"95","ADE","1248","ARIMA",2024 Sep,N(47, 1903),46.7441860465116
"96","ADE","1248","ARIMA",2024 Oct,N(47, 1903),46.7441860465116
"97","ADE","1255","ETS",2024 May,N(38, 1795),38.4221412415852
"98","ADE","1255","ETS",2024 Jun,N(38, 1795),38.4221412415852
"99","ADE","1255","ETS",2024 Jul,N(38, 1795),38.4221412415852
"100","ADE","1255","ETS",2024 Aug,N(38, 1795),38.4221412415852
"101","ADE","1255","ETS",2024 Sep,N(38, 1795),38.4221412415852
"102","ADE","1255","ETS",2024 Oct,N(38, 1795),38.4221412415852
"103","ADE","1255","ARIMA",2024 May,N(67, 1575),67.3155615386318
"104","ADE","1255","ARIMA",2024 Jun,N(58, 1575),57.8272082661347
"105","ADE","1255","ARIMA",2024 Jul,N(52, 1575),51.5016394178032
"106","ADE","1255","ARIMA",2024 Aug,N(42, 1575),42.0132861453061
"107","ADE","1255","ARIMA",2024 Sep,N(36, 1575),35.6877172969746
"108","ADE","1255","ARIMA",2024 Oct,N(33, 1575),32.5249328728089
"109","ADE","1256","ETS",2024 May,N(202, 42433),202.390287180697
"110","ADE","1256","ETS",2024 Jun,N(202, 42433),202.390287180697
"111","ADE","1256","ETS",2024 Jul,N(202, 42433),202.390287180697
"112","ADE","1256","ETS",2024 Aug,N(202, 42433),202.390287180697
"113","ADE","1256","ETS",2024 Sep,N(202, 42433),202.390287180697
"114","ADE","1256","ETS",2024 Oct,N(202, 42433),202.390287180697
"115","ADE","1256","ARIMA",2024 May,N(202, 41418),202.325581395349
"116","ADE","1256","ARIMA",2024 Jun,N(202, 41418),202.325581395349
"117","ADE","1256","ARIMA",2024 Jul,N(202, 41418),202.325581395349
